Group,Fandom,Stage Name,Korean Stage Name,Full Name,Date of Birth,Former Group,Instagram
ARIAZ,,Dawon,다원,Lee Dawon,1996-12-02,,
ARIAZ,,Hyogyeong,효경,Jang Hyogyeong,1999-11-15,,
ARIAZ,,Jueun,주은,Jo Jueun,2001-01-27,,
ARIAZ,,Sihyeon,시현,Kang Sihyeon,1998-07-15,,
ARIAZ,,Yeori,여리,Choi Yeori,1999-09-08,,
ARIAZ,,Yunji,윤지,Kim Yunji,1996-08-26,,
ARTBEAT,,Damhee,담희,Park Damhee,2000-06-21,,
ARTBEAT,,Gaeun,가은,Lee Gaeun,2000-07-18,,
ARTBEAT,,Haeun,하은,Lee Haeun,2002-06-25,,
ARTBEAT,,Seyoung,세영,Ha Seyoung,1999-02-03,,
ARTBEAT,,Yoojin,유진,Ahn Yoojin,2000-02-29,,
ARTBEAT,,Yubin,유빈,Oh Yubin,1998-11-26,,
ARTMS,,Choerry,최리,Choi Yerim,2001-06-04,LOONA,
ARTMS,,Haseul,하슬,Jo Haseul,1997-08-18,LOONA,
ARTMS,,Heejin,희진,Jeon Heejin,2000-10-19,LOONA,
ARTMS,,JinSoul,진솔,Jung Jinsol,1997-06-13,LOONA,
ARTMS,,Kim Lip,김립,Kim Jungeun,1999-02-10,LOONA,
Astin,,Hongil,홍일,Yoon Hongil,1999-01-11,,
Astin,,Hyeongseok,형석,Chu Hyeongseok,2000-09-13,,
Astin,,Jingyu,진규,Lee Jingyu,1998-04-22,,
Astin,,Junghun,정훈,Jang Junghun,1999-02-27,,
Astin,,Mir,미르,Lee Yoonsang,2000-03-06,,
Astin,,Seungjun,승준,Ji Seungjun,1998-09-15,,
Astin,,Yeram,예람,Yang Yeram,2000-03-31,,
ASTRO,,Eunwoo,은우,Cha Eunwoo,1997-03-30,,
ASTRO,,Jin Jin,진진,Park Jinwoo,1996-03-15,,
ASTRO,,MJ,엠제이,Kim Myungjun,1994-03-05,,
ASTRO,,Sanha,산하,Yoon Sanha,2000-03-21,,
ATBO,,Hyunjun,현준,Bae Hyunjun,2003-06-06,,
ATBO,,Junmin,준민,Ryu Junmin,2003-04-05,,
ATBO,,Junseok,준석,Oh Junseok,2003-03-03,,
ATBO,,Rakwon,락원,Seok Rakwon,2003-11-14,,
ATBO,,Seunghwan,승환,Jeong Seunghwan,2004-01-27,,
ATBO,,Won Bin,원빈,Won Bin,2004-07-01,,
ATBO,,Yeonkyu,연규,Kim Yeonkyu,2004-05-03,,
ATEEZ,,Hongjoong,홍중,Kim Hongjoong,1998-11-07,,
ATEEZ,,Jongho,종호,Choi Jongho,2000-10-12,,
ATEEZ,,Mingi,민기,Son Mingi,1999-08-09,,
ATEEZ,,San,산,Choi San,1999-07-10,,
ATEEZ,,Seonghwa,성화,Park Seonghwa,1998-04-03,,
ATEEZ,,Wooyoung,우영,Jung Wooyoung,1999-11-26,,
ATEEZ,,Yeosang,여상,Kang Yeosang,1999-06-15,,
ATEEZ,,Yunho,윤호,Jeong Yunho,1999-03-23,,
B.A.P,,Daehyun,대현,Jung Daehyun,1993-06-28,,
B.A.P,,Himchan,힘찬,Kim Himchan,1990-04-19,,
B.A.P,,Jongup,종업,Moon Jongup,1995-02-06,,
B.A.P,,Yongguk,용국,Bang Yongguk,1990-03-31,,
B.A.P,,Youngjae,영재,Yoo Youngjae,1994-01-24,,
B.A.P,,Zelo,젤로,Choi Junhong,1996-10-15,,
B.I.G,,Benji,벤지,Baek Jaewook,1992-05-03,,
B.I.G,,Gunmin,건민,Lee Gunmin,1994-10-03,,
B.I.G,,Heedo,희도,Yoon Heedo,1996-04-22,,
B.I.G,,J-Hoon,제이훈,Lim Junghoon,1990-07-15,,
B.I.G,,Minpyo,민표,Gook Minpyo,1994-11-15,,
B.O.Y,,Kookheon,국헌,Kim Kookheon,1997-04-15,MYTEEN,
B.O.Y,,Yuvin,유빈,Song Yuvin,1998-04-28,MYTEEN,
B1A4,,CNU,신우,Shin Dongwoo,1991-06-16,,
B1A4,,Gongchan,공찬,Gong Chansik,1993-08-14,,
B1A4,,Sandeul,산들,Lee Junghwan,1992-03-20,,
BABYMONSTER,,Ahyeon,아현,Jung Ahyeon,2007-04-11,,
BABYMONSTER,,Asa,아사,Enami Asa,2006-04-17,,
BABYMONSTER,,Chiquita,치키타,Riracha Phondechaphiphat,2009-02-17,,
BABYMONSTER,,Haram,하람,Shin Haram,2007-10-17,,
BABYMONSTER,,Pharita,파리타,Pharita Chaikong,2005-08-26,,
BABYMONSTER,,Rora,로라,Lee Dain,2008-08-05,,
BABYMONSTER,,Ruka,루카,Kawai Ruka,2002-03-20,,
BADKIZ,,K.Me,케이미,Na Miri,1992-04-10,,k.me93
BADKIZ,,LuA,루아,Jo Hankyeung,1991-09-14,,
BADKIZ,,Monika,모니카,Kang Yeh,1991-05-21,,maygirl_nika
BADKIZ,,Somin,소민,Jang Somin,1993-11-10,,somin.92
BADKIZ,,U-Si,유시,Yoo Jiyeon,1997-11-13,,_u_si
BADVILLAIN,,Chloe Young,클로이 영,Chloe Duong,2001-10-31,,
BADVILLAIN,,Emma,엠마,Song Hyemin,2000-04-26,,
BADVILLAIN,,Hu'e,휴이,Kim Inhye,2003-11-20,,
BADVILLAIN,,Ina,이나,Jeong Yina,2004-06-08,,
BADVILLAIN,,Kelly,켈리,Ha Seoyeon,2006-06-16,,
BADVILLAIN,,Vin,빈,Choi Seobin,2004-11-27,,
BADVILLAIN,,Yunseo,윤서,Kim Yunseo,2004-07-03,,
BAE173,,Bit,빛,No Minjae,2004-07-21,,
BAE173,,Doha,도하,Na Gyumin,2004-03-07,,
BAE173,,Dohyon,도현,Nam Dohyon,2004-11-10,X1,
BAE173,,Hangyul,한결,Lee Hangyul,1999-12-07,"X1, IM",
BAE173,,J-Min,제이민,Jeon Minwook,1999-10-16,,
BAE173,,Junseo,준서,Park Junseo,2001-12-28,,
BAE173,,Yoojun,유준,Jung Gun,2000-12-27,,
BAE173,,Youngseo,영서,Ryu Youngseo,2002-06-13,,
Berry Good,,Daye,다예,Kim Hyunjung,1998-02-25,,
Berry Good,,Gowoon,고운,Moon Yujeong,1998-12-18,,
Berry Good,,Johyun,조현,Shin Jiwon,1996-04-14,,
Berry Good,,Sehyung,세형,Kang Sehyung,1998-12-13,,
Berry Good,,Seoyul,서율,Seo Yuri,1997-11-26,,
BESTie,,Haeryeong,해령,Na Haeryeong,1994-11-11,,bestie_hr
BESTie,,Hyeyeon,혜연,Kang Hyeyeon,1990-12-08,EXID,hyeyeon_2
BIGBANG,,Daesung,대성,Daesung,1989-04-26,,
BIGBANG,,G-Dragon,지드래곤,Kwon Jiyong,1988-08-18,,
BIGBANG,,T.O.P,탑,Choi Seunghyun,1987-11-04,,
BIGBANG,,Taeyang,태양,Dong Youngbae,1988-05-18,,
Bigflo,,Euijin,의진,Lee Euijin,1990-02-15,,
Bigflo,,HighTop,하이탑,Lim Hyeontae,1994-03-19,,
Bigflo,,Lex,렉스,Jeon Hyungmin,1993-01-12,,
Bigflo,,Sungmin,성민,Oh Sungmin,1990-12-31,,
Billlie,,Haram,하람,Kim Haram,2001-01-13,,
Billlie,,Haruna,하루나,Osato Haruna,2006-01-30,,
Billlie,,Moon Sua,문수아,Moon Sua,1999-09-09,,
Billlie,,Sheon,션,Kim Suyeon,2003-01-28,,
Billlie,,Siyoon,시윤,Kim Siyoon,2005-02-16,,
Billlie,,Tsuki,츠키,Fukutomi Tsuki,2002-09-21,,
BLACKPINK,,Jennie,제니,Kim Jennie,1996-01-16,,
BLACKPINK,,Jisoo,지수,Kim Jisoo,1995-01-03,,
BLACKPINK,,Lisa,리사,Pranpriya Manoban,1997-03-27,,
BLACKPINK,,Rosé,로제,Roseanne Park,1997-02-11,,
Blackswan,,Fatou,파투,Fatou Samba,1995-03-23,,
Blackswan,,Gabi,가비,Gabriela Strassburger Dalcin,2002-11-07,,
Blackswan,,Leia,레아,Larissa Kartes,2001-05-14,,
Blackswan,,Nvee,앤비,Florence Alena Smith,1999-01-10,,
Blackswan,,Sriya,스리야,Sriya Lenka,2003-09-15,,
Blady,,Dayoung,다영,Kim Dayoung,1991-02-02,,loloola22_
Blady,,Gabin,가빈,Kim Gabin,1989-09-18,,_kimgabin
Blady,,Giru,기루,Park Giru,1991-08-14,,giru_p
Blady,,Tina,티나,Christine Joy Park,1994-09-01,,nuhmootina
Blady,,Yeeun,예은,Hwang Yeeun,1997-01-12,,yeeuneeeee_
BLANK2Y,,DK,닥,Kim Dokyun,1998-02-16,,
BLANK2Y,,Donghyuk,동혁,Park Donghyuk,1999-12-18,ENOi,
BLANK2Y,,Louis,루이,Kim Taewoo,1999-04-23,1the9,
BLANK2Y,,Mikey,마이키,Morisaki Daisuke,2001-05-05,,
BLANK2Y,,Siwoo,시우,Park Siwoo,2001-02-05,,
BLANK2Y,,Sodam,박소담,Park Sodam,2004-11-26,,
BLANK2Y,,Sungjun,성준,Lee Sungjun,2002-06-15,,
BLANK2Y,,U,유,Sun Hengyu,2001-06-22,,
BLANK2Y,,Youngbin,영빈,Lee Youngbin,2001-11-23,,
Bling Bling,,Ayamy,아야미,Suzuki Ayami,2000-07-15,,
Bling Bling,,Jieun,지은,Choi Jieun,2001-03-03,,
Bling Bling,,Juhyun,주현,Cha Juhyun,2000-04-01,,
Bling Bling,,Marin,마린,Yasufuku Marin,2001-03-17,,
Bling Bling,,Narin,나린,Lee Narin,2001-10-29,,
BLITZERS,,Chris,크리스,Han Chris,2002-11-19,,
BLITZERS,,Go_U,장준호,Jang Junho,2001-06-15,,
BLITZERS,,Jinhwa,진화,Choi Jinhwa,2002-01-15,,
BLITZERS,,Juhan,주한,Hong Seunghyun,2001-06-21,,
BLITZERS,,Lutan,루탄,Choi Gyeongseok,2003-12-06,,
BLITZERS,,Wooju,우주,Cho Wooju,2004-01-21,,
Block B,,B-Bomb,비범,Lee Minhyuk,1990-12-14,,
Block B,,Jaehyo,재효,Ahn Jaehyo,1990-12-23,,
Block B,,P.O,피오,Pyo Jihoon,1993-02-02,,
Block B,,Park Kyung,박경,Park Kyung,1992-07-08,,
Block B,,Taeil,태일,Lee Taeil,1990-09-24,,
Block B,,U-Kwon,유권,Kim Yukwon,1992-04-09,,
Block B,,Zico,지코,Woo Jiho,1992-09-14,,
Bolbbalgan4,,Jiyoon,지윤,Woo Jiyoon,1996-01-06,,
Bolbbalgan4,,Jiyoung,지영,Ahn Jiyoung,1995-09-14,,
Bonus Baby,,Chaehyun,채현,Kim Chaehyun,1999-11-29,,
Bonus Baby,,Dayun,다윤,Kim Dayun,2000-11-20,,
Bonus Baby,,Gaon,가온,Beom Gaon,2001-03-09,,
Bonus Baby,,Hayoon,하윤,Jung Hayoon,1998-11-21,MyB,
Bonus Baby,,Kongyoo,공유,Kong Yoojin,2001-05-11,,
Bonus Baby,,Moonhee,문희,Choi Moonhee,1997-04-15,MyB,
BOTOPASS,,Ahyoon,아윤,Choi Subin,2004-10-23,,
BOTOPASS,,Harin,하린,Seo Harin,2000-12-07,,
BOTOPASS,,Mihee,미희,Lee Mihee,2000-08-24,,
BOTOPASS,,Ria,리아,Kuwayama Ria,1998-02-03,,
BOTOPASS,,Seoyoon,서윤,Kim Suyoung,1995-01-26,ILUV,
BOTOPASS,,Shiho,시호,Kwon Subin,2001-08-22,,
Boyfriend,,Donghyun,동현,Kim Donghyun,1989-02-12,,
Boyfriend,,Hyunseong,현성,Shim Hyunseong,1993-06-09,,
Boyfriend,,Jeongmin,정민,Lee Jeongmin,1994-02-01,,
Boyfriend,,Kwangmin,광민,Jo Kwangmin,1995-04-24,,
Boyfriend,,Minwoo,민우,No Minwoo,1995-07-31,,
Boyfriend,,Youngmin,영민,Jo Youngmin,1995-04-24,,
BOYNEXTDOOR,,Jaehyun,재현,Myung Jaehyun,2003-12-04,,
BOYNEXTDOOR,,Riwoo,리우,Lee Sanghyeok,2003-10-22,,
BOYNEXTDOOR,,Sungho,성호,Park Sungho,2003-09-04,,
BOYNEXTDOOR,,Taesan,태산,Han Dongmin,2004-08-10,,
BOYNEXTDOOR,,Woonhak,운학,Kim Woonhak,2006-11-29,,
Boys Republic,,Minsu,민수,Park Minsu,1993-04-15,,
Boys Republic,,Onejunn,원준,Jo Wonjun,1988-11-22,,
Boys Republic,,Sungjun,성준,Park Sungjun,1992-12-17,,
Boys Republic,,Sunwoo,선우,Choi Sunwoo,1992-03-12,,
Boys Republic,,Suwoong,수웅,Lee Suwoong,1995-01-20,,
Brave Girls,,Eunji,은지,Hong Eunji,1992-07-19,,
Brave Girls,,Minyoung,민영,Kim Minyeong,1990-09-12,,
Brave Girls,,Yujeong,유정,Nam Yujeong,1991-05-02,,
Brave Girls,,Yuna,유나,Lee Yuna,1993-04-06,,
Brown Eyed Girls,,Gain,가인,Son Gain,1987-09-20,,songain87
Brown Eyed Girls,,Jea,제아,Kim Hyojin,1981-09-18,,jeaworld
Brown Eyed Girls,,Miryo,미료,Jo Mihye,1981-11-02,,miryoakajohoney
Brown Eyed Girls,,Narsha,나르샤,Park Hyojin,1981-12-28,,narsha81
BtoB,,Changsub,창섭,Lee Changsub,1991-02-26,,
BtoB,,Eunkwang,은광,Seo Eunkwang,1990-11-22,,
BtoB,,Hyunsik,현식,Lim Hyunsik,1992-03-07,,
BtoB,,Ilhoon,일훈,Jung Ilhoon,1994-10-04,,
BtoB,,Peniel,프니엘,Shin Donggeun,1993-03-10,,
BtoB,,Sungjae,성재,Yook Sungjae,1995-05-02,,
BTS,,J-Hope,제이홉,Jung Hoseok,1994-02-18,,
BTS,,Jimin,지민,Park Jimin,1995-10-13,,
BTS,,Jin,진,Kim Seokjin,1992-12-04,,
BTS,,Jungkook,정국,Jeon Jungkook,1997-09-01,,
BTS,,RM,알엠,Kim Namjoon,1994-09-12,,
BTS,,Suga,슈가,Min Yoongi,1993-03-09,,
BTS,,V,뷔,Kim Taehyung,1995-12-30,,
bugAboo,,Choyeon,초연,Kim Choyeon,2001-08-01,,
bugAboo,,Cyan,시안,Lee Chaeeun,2001-04-04,,
bugAboo,,Eunchae,은채,Son Eunchae,1999-10-06,,
bugAboo,,Yoona,유우나,Ogura Yuuna,2000-10-13,,
bugAboo,,Zin,지인,Jin Hyunbin,2001-08-31,,
Busters,,Jisoo,지수,Jung Jisoo,2003-11-22,,
BVNDIT,,Jungwoo,정우,Uhm Jungwoo,1999-04-02,,
BVNDIT,,Seungeun,승은,Shim Seungeun,2000-12-27,,
BVNDIT,,Simyeong,시명,Lee Simyeong,1999-05-27,,
BVNDIT,,Songhee,송희,Yoon Songhee,1998-11-08,,
BVNDIT,,Yiyeon,이연,Jung Dasol,1995-05-28,,
BXB,,Hamin,하민,Kim Kangmin,2001-11-13,TRCNG,
BXB,,Hyunwoo,현우,Kim Hyunwoo,2001-01-21,TRCNG,
BXB,,Jihun,지훈,Kim Jihun,2000-01-09,TRCNG,
BXB,,Siwoo,시우,Yoo Siwoo,2001-05-11,TRCNG,
Candy Shop,,Sarang,사랑,Choi Sarang,2007-11-30,,
Candy Shop,,Soram,소람,Jung Soram,2005-09-24,,
Candy Shop,,Sui,수이,Cho Sui,2007-08-15,,
Candy Shop,,Yuina,유이나,Futatsugami Yuina,2007-02-27,,
CHECKMATE,,Nason,네이슨,Kim Duyeop,1995-06-12,,
CHECKMATE,,Noah,노아,Hwang Seundae,1998-03-18,,
CHECKMATE,,Sieun,시은,Lee Sieun,1993-09-19,,
CHECKMATE,,Suri,수리,Kang Suri,1994-10-11,,
CHECKMATE,,Yongseok,용석,Choi Yongseok,1996-05-23,,
Cherry Bullet,,Chaerin,채린,Park Chaerin,2002-03-13,,
Cherry Bullet,,Haeyoon,해윤,Park Haeyoon,1996-01-10,,
Cherry Bullet,,Jiwon,지원,Heo Jiwon,2000-09-04,,
Cherry Bullet,,May,메이,Hirokawa Mao,2004-11-16,,
Cherry Bullet,,Remi,레미,Katsuno Rise,2001-04-26,,
Cherry Bullet,,Yuju,유주,Choi Yuju,1997-03-05,,
Cignature,,Belle,벨,Jin Hyeonjoo,2001-11-03,Good Day,
Cignature,,Chaesol,채솔,Maeng Chaesol,1998-07-14,Good Day,
Cignature,,Chloe,클로이,Yun Jiwon,2001-01-06,,
Cignature,,Dohee,도희,Kwon Dohee,2002-08-01,,
Cignature,,Seline,셀린,Jung Yeonjeong,2000-06-20,,
Cignature,,Semi,세미,Gu Semi,2002-04-10,,
Ciipher,,Dohwan,도환,Gil Dohwan,2003-08-26,,
Ciipher,,Hwi,휘,Lee Choonghyun,1999-02-04,,
Ciipher,,Hyunbin,현빈,Moon Hyunbin,2000-02-26,,
Ciipher,,Keita,케이타,Terazono Keita,2001-07-04,,
Ciipher,,Tan,탄,Choi Seokwon,1996-08-25,,
Ciipher,,Won,성원,Park Sungwon,2003-12-18,1the9,
CIX,,BX,비엑스,Lee Byounggon,1998-03-05,,
CIX,,Hyunsuk,현석,Yoon Hyunsuk,2001-09-08,,
CIX,,Jinyoung,진영,Bae Jinyoung,2000-05-10,Wanna One,
CIX,,Seunghun,승훈,Kim Seunghun,1999-02-26,,
CIX,,Yonghee,용희,Kim Yonghee,2000-02-17,,
CLASS:y,,Boeun,보은,Park Boeun,2008-02-11,,
CLASS:y,,Chaewon,채원,Yoon Chaewon,2003-06-04,,
CLASS:y,,Hyeju,혜주,Hong Hyeju,2003-12-09,,
CLASS:y,,Hyungseo,형서,Myeong Hyeongseo,2001-06-25,Busters,
CLASS:y,,Jimin,지민,Won Jimin,2007-11-25,,
CLASS:y,,Riwon,리원,Kim Riwon,2007-01-11,,
CLASS:y,,Seonyu,선유,Kim Seonyu,2008-03-20,,
CLC,,Eunbin,은빈,Kwon Eunbin,2000-01-06,,
CLC,,Seunghee,승희,Oh Seunghee,1995-10-10,,
